Name,Department,Time at Company (months)
Lilly Leuschke,HR,24
Earle Larson,IT,76
Dominick Ritchie,IT,120
Federico Robel,Marketing,39
Octavio Wehner,Finance,68
Cheryl Kirlin,IT,34
Earle Vandervort,HR,84
Mrs. Kelly Jerde,IT,70
Rema Schultz,Operations,26
Marlys Schimmel,Marketing,107
Eleanore Parker,Finance,118
Garth Paucek,Marketing,80
Jewell Price,Marketing,58
Sen. Brendon Padberg,Finance,42
Kieth Torphy II,Marketing,38
Columbus Kutch,Finance,21
Hassan Sauer,Finance,99
Pres. Robbin Wyman,HR,70
Lino Carter,Operations,80
Virgil Ward DC,Finance,94
Carlos Fadel,Marketing,29
Willian Marks,HR,83
Darnell Fisher,Marketing,66
Zachary Gutmann,IT,25
Kaitlin Towne,IT,116
Mrs. Norman Braun,Marketing,30
Jc Wisoky DC,Finance,41
Pres. Leonel Huel,Marketing,55
Amb. Belen Bergstrom,IT,75
Jodi Ritchie,IT,22
Sid Murazik,Marketing,78
Frederic Rice,Finance,85
Fr. Hiroko Pagac,Finance,43
Candy Crooks,HR,100
Waldo Walsh,Finance,28
Kizzy Kling LLD,HR,105
Gov. Keneth Mitchell,Marketing,120
Danika Vandervort V,Finance,82
Florentino Lind,Marketing,85
Mason Stanton,HR,24
Lucio Dare,HR,29
Sen. Les Vandervort,Operations,93
David Hartmann DDS,Operations,82
Mr. Adolph Kuhlman,Marketing,36
Melia Fadel IV,Finance,85
Wendie Pfeffer,IT,91
Lazaro Bernhard,Operations,99
Dr. Bradley Waelchi,IT,99
Aubrey Stoltenberg JD,HR,23
Pres. Josef Morar,HR,53
Danyell Jones MD,Marketing,108
Isreal Predovic,Marketing,13
Lyndsay Moen,Operations,27
The Hon. Rolando Jacobs,Finance,20
Darleen Graham,Operations,59
Donita Macejkovic,Operations,116
Noriko Reichel,HR,102
Kevin Langosh,Marketing,88
Bradly Braun,Marketing,96
Boyd Schumm,Marketing,55
Nick Prosacco,HR,36
The Hon. Agustin Hamill,HR,32
Marion Doyle,Marketing,46
Tory Hoeger,Finance,93
Lester Schmitt,Operations,38
Kandi Stiedemann Jr.,IT,27
Cassi Abernathy Jr.,Finance,103
Tatiana Breitenberg,Finance,88
Gov. Luciano Harvey,Marketing,30
Arnulfo Feeney III,Operations,31
Zona Veum,IT,15
Debra Spinka,HR,25
